Id,Label,timeset,govn,indegree,outdegree,Degree,Population,modularity_class,componentnumber,strongcompnum,clustering,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
Alahsa,Alahsa,,Eastern-Region,1,0,1,1300000,2,0,0,0,0,0,0,0
Alaflaj,Alaflaj,,Ar-Riyad,1,0,1,82549,4,0,1,0,0,0,0,0
Alasyah,Alasyah,,Al-Qaseem,1,0,1,39763,3,0,2,0,0,0,0,0
Albaha,Albaha,,Al-Baha,1,8,9,88419,1,0,17,0,3,0.608696,0.75,70
Albadai,Albadai,,Al-Qaseem,1,0,1,57164,7,0,18,0,0,0,0,0
Albukayriyah,Albukayriyah,,Al-Qaseem,1,0,1,25153,7,0,19,0,0,0,0,0
Alhariq,Alhariq,,Ar-Riyad,1,0,1,14924,4,0,20,0,0,0,0,0
Addiriyah,Addiriyah,,Ar-Riyad,1,2,3,73668,4,0,23,0,1,1,1,4
Addammam,Addammam,,Eastern-Region,1,1,2,768602,2,0,25,0,1,1,1,1
Adduwadimi,Adduwadimi,,Ar-Riyad,1,2,3,54474,3,0,28,0,1,1,1,6
Alaridah,Alaridah,,Jazan,1,0,1,77155,5,0,29,0,0,0,0,0
Alaqiq,Alaqiq,,Al-Baha,1,0,1,35629,1,0,9,0,0,0,0,0
Alghat,Alghat,,Ar-Riyad,1,0,1,16500,9,0,30,0,0,0,0,0
Alghazalah,Alghazalah,,Hail,1,0,1,94670,3,0,31,0,0,0,0,0
Abha,Abha,,Aseer,1,2,3,210886,6,0,37,0,3,0.555556,0.666667,25
Abu-Arish,Abu-Arish,,Jazan,1,1,2,49171,7,0,39,0,1,1,1,6
Ahad-almusarihah,Ahad-almusarihah,,Jazan,1,1,2,25007,5,0,41,0,1,1,1,5
Ahad-Rifaydah,Ahad-Rifaydah,,Aseer,1,2,3,57112,6,0,36,0,2,0.75,0.833333,18
Afif,Afif,,Ar-Riyad,1,0,1,45525,3,0,26,0,0,0,0,0
Addair,Addair,,Jazan,1,2,3,15103,6,0,44,0,1,1,1,12
Alharth,Alharth,,Jazan,1,0,1,50000,5,0,40,0,0,0,0,0
Alhinakiyah,Alhinakiyah,,Al-Madinah-Al-Monawarah,1,0,1,80000,0,0,45,0,0,0,0,0
Alidabi,Alidabi,,Jazan,1,0,1,7672,7,0,46,0,0,0,0,0
Aljubayl,Aljubayl,,Eastern-Region,1,0,1,237274,2,0,47,0,0,0,0,0
Aljumum,Aljumum,,Makkah-Al-Mokarramah,1,0,1,92222,0,0,48,0,0,0,0,0
Alkamil,Alkamil,,Makkah-Al-Mokarramah,1,0,1,30782,10,0,49,0,0,0,0,0
Alkhafji,Alkhafji,,Eastern-Region,1,0,1,54857,2,0,50,0,0,0,0,0
Alkharj,Alkharj,,Ar-Riyad,1,1,2,425300,4,0,52,0,2,0.6,0.666667,6
Alkharkhir,Alkharkhir,,Najran,1,0,1,16000,6,0,34,0,0,0,0,0
Alkhubar,Alkhubar,,Eastern-Region,1,0,1,541358,2,0,53,0,0,0,0,0
Alkhurmah,Alkhurmah,,Makkah-Al-Mokarramah,1,0,1,27032,0,0,54,0,0,0,0,0
Allith,Allith,,Makkah-Al-Mokarramah,1,0,1,18430,0,0,55,0,0,0,0,0
Almadinah-almunawwarah,Almadinah,,Al-Madinah-Al-Monawarah,1,5,6,1300000,0,0,64,0,3,0.625,0.733333,30
Almahd,Almahd,,Al-Madinah-Al-Monawarah,1,0,1,59252,0,0,57,0,0,0,0,0
Almajardah,Almajardah,,Aseer,1,0,1,53418,5,0,65,0,0,0,0,0
Almajmaah,Almajmaah,,Ar-Riyad,1,2,3,133285,9,0,71,0,3,0.545455,0.638889,18
Almandaq,Almandaq,,Al-Baha,1,0,1,67000,1,0,8,0,0,0,0,0
Almidhnab,Almidhnab,,Al-Qaseem,1,0,1,60870,3,0,72,0,0,0,0,0
Almukhwah,Almukhwah,,Al-Baha,1,2,3,82404,5,0,74,0,1,1,1,10
Almuzahimiyah,Almuzahimiyah,,Ar-Riyad,1,0,1,39865,4,0,22,0,0,0,0,0
Alnuayriyah,Alnuayriyah,,Eastern-Region,1,0,1,89000,2,0,75,0,0,0,0,0
Alqari,Alqari,,Al-Baha,1,0,1,31480,1,0,3,0,0,0,0,0
